employee_id,name,age,gender,education,department,job_level,location,salary,hire_date,years_at_company,performance_score,training_hours,manager_id,attrition,last_promotion_year,satisfaction_score
EMP00001,Employee_1,43,Male,Master,Sales,Lead,Hyderabad,2078727,2024-05-05,0.7,5,94,EMP00415,Yes,2023,1.6
EMP00002,Employee_2,39,Male,Master,IT,Lead,Bangalore,2168824,2012-07-01,12.5,3,76,EMP00191,No,2020,1.0
EMP00003,Employee_3,38,Male,Master,Marketing,Manager,Bangalore,2216478,2010-07-24,14.4,1,64,EMP00339,Yes,2021,2.5
EMP00004,Employee_4,22,Male,Bachelor,Finance,Junior,Hyderabad,508794,2016-03-03,8.8,4,53,EMP00088,No,2019,2.0
EMP00005,Employee_5,33,Male,PhD,Engineering,Lead,Chennai,1999851,2015-06-30,9.5,1,82,EMP00482,Yes,2018,2.6
EMP00006,Employee_6,44,Male,Bachelor,Engineering,Senior,Pune,1366874,2015-01-03,10.0,4,56,EMP00270,No,2015,1.5
EMP00007,Employee_7,29,Female,Master,Engineering,Senior,Hyderabad,1197564,2013-02-17,11.9,2,60,EMP00410,Yes,2018,3.8
EMP00008,Employee_8,54,Male,Master,Legal,Senior,Pune,1582083,2012-04-19,12.7,4,89,EMP00320,No,2016,4.5
EMP00009,Employee_9,33,Male,Bachelor,Finance,Manager,Delhi,2559102,2022-03-26,2.8,5,87,EMP00452,No,2021,3.6
EMP00010,Employee_10,38,Male,Bachelor,Marketing,Senior,Bangalore,1342535,2011-12-14,13.1,5,55,EMP00223,Yes,2017,3.1
EMP00011,Employee_11,51,Female,Master,Engineering,Junior,Chennai,340491,2023-03-31,1.8,3,67,EMP00450,No,2021,4.0
EMP00012,Employee_12,34,Male,Diploma,IT,Mid,Chennai,731059,2019-06-19,5.5,3,28,EMP00365,No,2015,1.1
EMP00013,Employee_13,42,Male,Bachelor,Operations,Manager,Hyderabad,2334742,2010-09-18,14.3,1,97,EMP00034,Yes,2017,4.0
EMP00014,Employee_14,30,Male,Master,Engineering,Lead,Chennai,1784473,2010-09-02,14.3,4,119,EMP00061,No,2015,3.1
EMP00015,Employee_15,49,Male,Bachelor,Engineering,Mid,Mumbai,603668,2012-02-07,12.9,5,56,EMP00074,No,2024,3.4
EMP00016,Employee_16,28,Male,Bachelor,Engineering,Lead,Hyderabad,2132696,2014-11-27,10.1,3,79,EMP00452,No,2015,4.7
EMP00017,Employee_17,39,Female,Bachelor,Sales,Mid,Hyderabad,890898,2015-03-21,9.8,4,68,EMP00474,No,2020,4.2
EMP00018,Employee_18,54,Male,Bachelor,HR,Mid,Hyderabad,685058,2021-05-02,3.7,4,80,EMP00067,No,2017,4.7
EMP00019,Employee_19,44,Male,Diploma,Sales,Senior,Delhi,1309823,2023-07-03,1.5,4,15,EMP00407,No,2018,3.2
EMP00020,Employee_20,22,Female,Bachelor,Sales,Mid,Mumbai,995716,2010-08-06,14.4,4,88,EMP00098,No,2017,3.0
EMP00021,Employee_21,40,Male,Bachelor,Finance,Junior,Chennai,478570,2022-08-03,2.4,3,59,EMP00099,No,2015,2.1
